Target,xF bin,Mass bin,Raw Cross Section \pm stat. error \pm syst. error,Unfolded (clean) Cross Section (iter=3) \pm stat. error \pm syst. error,Unfolded (messy) Cross Section (iter=3) \pm stat. error \pm syst. error,Unfolded (clean) Cross Section (iter=4) \pm stat. error \pm syst. error,Unfolded (messy) Cross Section (iter=4) \pm stat. error \pm syst. error,Unfolding syst (clean) [%],Unfolding syst (messy) [%]
LH2,-0.05 <= xF < 0.00,4.50 <= Mass < 4.80,0.054967 \pm 0.054967 \pm 0.018316,-,-,-,-,-,-
LH2,-0.05 <= xF < 0.00,4.80 <= Mass < 5.10,0.209037 \pm 0.535377 \pm 0.072336,0.503004 \pm 0.446919 \pm 0.174061,0.543049 \pm 0.345677 \pm 0.187918,-,-,6.59,6.84
LH2,-0.05 <= xF < 0.00,5.10 <= Mass < 5.40,0.327848 \pm 0.119368 \pm 0.038073,0.327877 \pm 0.118108 \pm 0.038077,0.330705 \pm 0.119239 \pm 0.038405,-,-,3.96,3.51
LH2,-0.05 <= xF < 0.00,5.40 <= Mass < 5.70,0.302122 \pm 0.093319 \pm 0.027120,0.336176 \pm 0.063008 \pm 0.030177,0.291728 \pm 0.052132 \pm 0.026187,-,-,2.89,3.32
LH2,-0.05 <= xF < 0.00,5.70 <= Mass < 6.00,0.177762 \pm 0.029248 \pm 0.010969,0.163707 \pm 0.028742 \pm 0.010102,0.193576 \pm 0.034816 \pm 0.011945,-,-,2.92,2.10
LH2,-0.05 <= xF < 0.00,6.00 <= Mass < 6.30,0.093600 \pm 0.031194 \pm 0.005773,0.095364 \pm 0.021248 \pm 0.005881,0.087810 \pm 0.019830 \pm 0.005415,-,-,7.44,8.58
LH2,-0.05 <= xF < 0.00,6.30 <= Mass < 6.60,0.083622 \pm 0.019381 \pm 0.004719,0.068345 \pm 0.014420 \pm 0.003857,0.081462 \pm 0.014407 \pm 0.004597,-,-,2.79,4.01
LH2,-0.05 <= xF < 0.00,6.60 <= Mass < 6.90,0.058602 \pm 0.017459 \pm 0.003301,0.058801 \pm 0.011611 \pm 0.003312,0.050204 \pm 0.010747 \pm 0.002828,-,-,3.61,4.35
LH2,-0.05 <= xF < 0.00,6.90 <= Mass < 7.50,0.044300 \pm 0.011438 \pm 0.002076,0.036569 \pm 0.009588 \pm 0.001714,0.031951 \pm 0.008497 \pm 0.001498,-,-,3.25,3.60
LH2,-0.05 <= xF < 0.00,7.50 <= Mass < 8.80,0.005821 \pm 0.004116 \pm 0.000531,0.006405 \pm 0.003562 \pm 0.000584,0.006072 \pm 0.003092 \pm 0.000554,-,-,18.73,19.25
LH2,0.00 <= xF < 0.05,4.20 <= Mass < 4.50,0.074408 \pm 0.074408 \pm 0.035582,-,-,-,-,-,-
LH2,0.00 <= xF < 0.05,4.50 <= Mass < 4.80,0.696437 \pm 0.865692 \pm 0.335256,1.088223 \pm 0.970021 \pm 0.523857,-,-,-,14.80,-
LH2,0.00 <= xF < 0.05,4.80 <= Mass < 5.10,0.396597 \pm 0.211556 \pm 0.058519,0.306933 \pm 0.163603 \pm 0.045289,0.493608 \pm 0.256124 \pm 0.072833,-,-,5.94,6.44
LH2,0.00 <= xF < 0.05,5.10 <= Mass < 5.40,0.157904 \pm 0.122464 \pm 0.015940,0.232833 \pm 0.082776 \pm 0.023504,0.175760 \pm 0.090824 \pm 0.017743,-,-,4.63,7.22
LH2,0.00 <= xF < 0.05,5.40 <= Mass < 5.70,0.208755 \pm 0.058286 \pm 0.013818,0.168091 \pm 0.043877 \pm 0.011126,0.189721 \pm 0.055586 \pm 0.012558,-,-,3.24,3.56
LH2,0.00 <= xF < 0.05,5.70 <= Mass < 6.00,0.104962 \pm 0.038847 \pm 0.005891,0.124569 \pm 0.029568 \pm 0.006992,0.136233 \pm 0.032122 \pm 0.007646,-,-,3.13,3.49
LH2,0.00 <= xF < 0.05,6.00 <= Mass < 6.30,0.115070 \pm 0.027496 \pm 0.006058,0.096827 \pm 0.020840 \pm 0.005097,0.087211 \pm 0.017743 \pm 0.004591,-,-,2.07,2.66
LH2,0.00 <= xF < 0.05,6.30 <= Mass < 6.60,0.078848 \pm 0.015726 \pm 0.003815,0.076838 \pm 0.013028 \pm 0.003717,0.076778 \pm 0.012753 \pm 0.003715,-,-,2.04,2.50
LH2,0.00 <= xF < 0.05,6.60 <= Mass < 6.90,0.046556 \pm 0.013302 \pm 0.002341,0.061408 \pm 0.010972 \pm 0.003088,0.061482 \pm 0.010171 \pm 0.003092,-,-,2.27,2.10
LH2,0.00 <= xF < 0.05,6.90 <= Mass < 7.50,0.045345 \pm 0.010998 \pm 0.001922,0.039411 \pm 0.009809 \pm 0.001671,0.034957 \pm 0.009095 \pm 0.001482,-,-,2.52,2.60
LH2,0.00 <= xF < 0.05,7.50 <= Mass < 8.80,0.008194 \pm 0.004731 \pm 0.000547,0.007218 \pm 0.004124 \pm 0.000482,0.007676 \pm 0.004289 \pm 0.000512,-,-,14.51,13.63
LH2,0.05 <= xF < 0.10,4.20 <= Mass < 4.50,0.007125 \pm 0.015933 \pm 0.001617,0.078135 \pm 0.084333 \pm 0.017735,0.066270 \pm 0.067732 \pm 0.015042,-,-,8.90,7.94
LH2,0.05 <= xF < 0.10,4.50 <= Mass < 4.80,0.696785 \pm 0.368738 \pm 0.157621,0.663313 \pm 0.286059 \pm 0.150049,0.542421 \pm 0.282192 \pm 0.122702,-,-,6.83,7.64
LH2,0.05 <= xF < 0.10,4.80 <= Mass < 5.10,0.721154 \pm 0.132724 \pm 0.086529,0.694637 \pm 0.129044 \pm 0.083347,0.699704 \pm 0.139952 \pm 0.083955,-,-,5.13,5.93
LH2,0.05 <= xF < 0.10,5.10 <= Mass < 5.40,0.247378 \pm 0.081788 \pm 0.018847,0.336804 \pm 0.059119 \pm 0.025660,0.382253 \pm 0.063918 \pm 0.029123,-,-,4.68,2.51
LH2,0.05 <= xF < 0.10,5.40 <= Mass < 5.70,0.198958 \pm 0.039762 \pm 0.010873,0.162650 \pm 0.029200 \pm 0.008889,0.156693 \pm 0.026926 \pm 0.008563,-,-,5.53,5.63
LH2,0.05 <= xF < 0.10,5.70 <= Mass < 6.00,0.131270 \pm 0.036164 \pm 0.006756,0.157429 \pm 0.026632 \pm 0.008102,0.141238 \pm 0.024399 \pm 0.007268,-,-,2.83,2.50
LH2,0.05 <= xF < 0.10,6.00 <= Mass < 6.30,0.128357 \pm 0.026377 \pm 0.005736,0.095273 \pm 0.017006 \pm 0.004258,0.098986 \pm 0.016963 \pm 0.004423,-,-,4.79,5.34
LH2,0.05 <= xF < 0.10,6.30 <= Mass < 6.60,0.064381 \pm 0.016311 \pm 0.002768,0.059814 \pm 0.011618 \pm 0.002572,0.059186 \pm 0.011715 \pm 0.002545,-,-,4.18,4.45
LH2,0.05 <= xF < 0.10,6.60 <= Mass < 6.90,0.024061 \pm 0.009639 \pm 0.001094,0.028487 \pm 0.006364 \pm 0.001296,0.031440 \pm 0.006308 \pm 0.001430,-,-,12.05,11.89
LH2,0.05 <= xF < 0.10,6.90 <= Mass < 7.50,0.022575 \pm 0.006517 \pm 0.000852,0.020530 \pm 0.005330 \pm 0.000775,0.021355 \pm 0.004915 \pm 0.000806,-,-,6.54,7.70
LH2,0.05 <= xF < 0.10,7.50 <= Mass < 8.80,0.015961 \pm 0.005047 \pm 0.000697,0.014292 \pm 0.005123 \pm 0.000624,0.013624 \pm 0.004965 \pm 0.000595,-,-,7.49,8.02
LH2,0.10 <= xF < 0.15,3.90 <= Mass < 4.20,7.220823 \pm 2.947889 \pm 13.798601,-,-,-,-,-,-
LH2,0.10 <= xF < 0.15,4.20 <= Mass < 4.50,1.027061 \pm 0.245408 \pm 0.306051,1.094681 \pm 0.286207 \pm 0.326201,1.428153 \pm 0.378323 \pm 0.425572,-,-,8.77,5.69
LH2,0.10 <= xF < 0.15,4.50 <= Mass < 4.80,1.058540 \pm 0.181366 \pm 0.161364,1.111228 \pm 0.175580 \pm 0.169396,1.053914 \pm 0.186289 \pm 0.160659,-,-,6.75,9.02
LH2,0.10 <= xF < 0.15,4.80 <= Mass < 5.10,0.442162 \pm 0.093804 \pm 0.035634,0.573401 \pm 0.076960 \pm 0.046210,0.509674 \pm 0.062861 \pm 0.041075,-,-,1.42,2.16
LH2,0.10 <= xF < 0.15,5.10 <= Mass < 5.40,0.343186 \pm 0.056883 \pm 0.019696,0.293174 \pm 0.040974 \pm 0.016826,0.337110 \pm 0.045217 \pm 0.019348,-,-,5.43,5.34
LH2,0.10 <= xF < 0.15,5.40 <= Mass < 5.70,0.172969 \pm 0.036603 \pm 0.008848,0.173549 \pm 0.026391 \pm 0.008878,0.170952 \pm 0.025820 \pm 0.008745,-,-,5.20,5.63
LH2,0.10 <= xF < 0.15,5.70 <= Mass < 6.00,0.149917 \pm 0.028323 \pm 0.006747,0.154889 \pm 0.019185 \pm 0.006971,0.145571 \pm 0.019004 \pm 0.006552,-,-,1.26,1.53
LH2,0.10 <= xF < 0.15,6.00 <= Mass < 6.30,0.150508 \pm 0.017487 \pm 0.006062,0.118970 \pm 0.014452 \pm 0.004792,0.111066 \pm 0.013741 \pm 0.004474,-,-,3.87,3.18
LH2,0.10 <= xF < 0.15,6.30 <= Mass < 6.60,0.063501 \pm 0.014785 \pm 0.002512,0.076408 \pm 0.010261 \pm 0.003022,0.074169 \pm 0.009743 \pm 0.002934,-,-,1.64,1.80
LH2,0.10 <= xF < 0.15,6.60 <= Mass < 6.90,0.054385 \pm 0.011068 \pm 0.002332,0.048027 \pm 0.007885 \pm 0.002059,0.044817 \pm 0.007230 \pm 0.001922,-,-,3.06,3.55
LH2,0.10 <= xF < 0.15,6.90 <= Mass < 7.50,0.025287 \pm 0.006283 \pm 0.000873,0.023193 \pm 0.005041 \pm 0.000801,0.024039 \pm 0.005199 \pm 0.000830,-,-,4.20,4.82
LH2,0.10 <= xF < 0.15,7.50 <= Mass < 8.80,0.011837 \pm 0.003946 \pm 0.000445,0.010145 \pm 0.003831 \pm 0.000381,0.010001 \pm 0.003680 \pm 0.000376,-,-,3.70,4.27
LH2,0.15 <= xF < 0.20,4.20 <= Mass < 4.50,1.405427 \pm 0.195633 \pm 0.285047,0.917572 \pm 0.416615 \pm 0.186101,1.352515 \pm 0.518863 \pm 0.274315,-,-,4.01,3.37
LH2,0.15 <= xF < 0.20,4.50 <= Mass < 4.80,0.794479 \pm 0.103271 \pm 4.998260,0.881005 \pm 0.094841 \pm 5.542614,0.860065 \pm 0.103126 \pm 5.410877,-,-,2.91,2.57
LH2,0.15 <= xF < 0.20,4.80 <= Mass < 5.10,0.565129 \pm 0.069763 \pm 0.777699,0.601636 \pm 0.050751 \pm 0.827938,0.543052 \pm 0.052915 \pm 0.747317,-,-,1.15,1.49
LH2,0.15 <= xF < 0.20,5.10 <= Mass < 5.40,0.425783 \pm 0.048895 \pm 0.022540,0.412037 \pm 0.034919 \pm 0.021812,0.445231 \pm 0.034949 \pm 0.023570,-,-,3.08,1.84
LH2,0.15 <= xF < 0.20,5.40 <= Mass < 5.70,0.227763 \pm 0.019717 \pm 0.009733,0.252376 \pm 0.019538 \pm 0.010785,0.255513 \pm 0.018683 \pm 0.010919,-,-,2.89,2.01
LH2,0.15 <= xF < 0.20,5.70 <= Mass < 6.00,0.197169 \pm 0.023037 \pm 0.008018,0.183686 \pm 0.017301 \pm 0.007470,0.181226 \pm 0.017468 \pm 0.007370,-,-,1.36,1.26
LH2,0.15 <= xF < 0.20,6.00 <= Mass < 6.30,0.120550 \pm 0.019994 \pm 0.004944,0.110351 \pm 0.014205 \pm 0.004526,0.103513 \pm 0.013174 \pm 0.004245,-,-,1.36,1.92
LH2,0.15 <= xF < 0.20,6.30 <= Mass < 6.60,0.067417 \pm 0.013820 \pm 0.002519,0.064586 \pm 0.008603 \pm 0.002413,0.054594 \pm 0.007757 \pm 0.002040,-,-,3.31,3.42
LH2,0.15 <= xF < 0.20,6.60 <= Mass < 6.90,0.040137 \pm 0.008169 \pm 0.001417,0.040117 \pm 0.006813 \pm 0.001416,0.040361 \pm 0.006811 \pm 0.001424,-,-,1.71,1.96
LH2,0.15 <= xF < 0.20,6.90 <= Mass < 7.50,0.029887 \pm 0.010310 \pm 0.001281,0.023214 \pm 0.008508 \pm 0.000995,0.022600 \pm 0.007944 \pm 0.000968,-,-,3.59,3.77
LH2,0.15 <= xF < 0.20,7.50 <= Mass < 8.80,0.002612 \pm 0.001508 \pm 0.000108,0.002464 \pm 0.001180 \pm 0.000102,0.002961 \pm 0.001281 \pm 0.000122,-,-,19.43,19.06
LH2,0.15 <= xF < 0.20,8.80 <= Mass < 10.00,0.004595 \pm 0.004595 \pm 0.000288,0.003763 \pm 0.004385 \pm 0.000236,0.003081 \pm 0.003931 \pm 0.000193,-,-,18.16,20.94
LH2,0.20 <= xF < 0.25,3.90 <= Mass < 4.20,3.302141 \pm 1.329824 \pm 1.512355,1.893325 \pm 0.389736 \pm 0.867128,2.307724 \pm 0.554185 \pm 1.056920,-,-,5.47,7.52
LH2,0.20 <= xF < 0.25,4.20 <= Mass < 4.50,1.186368 \pm 0.113224 \pm 0.139720,1.391538 \pm 0.216022 \pm 0.163883,1.324698 \pm 0.227659 \pm 0.156011,-,-,7.42,4.48
LH2,0.20 <= xF < 0.25,4.50 <= Mass < 4.80,0.577749 \pm 0.114418 \pm 0.047858,0.798530 \pm 0.093376 \pm 0.066146,0.709715 \pm 0.106068 \pm 0.058789,-,-,5.05,3.48
LH2,0.20 <= xF < 0.25,4.80 <= Mass < 5.10,0.517919 \pm 0.036918 \pm 0.027109,0.393686 \pm 0.029922 \pm 0.020606,0.390041 \pm 0.026533 \pm 0.020415,-,-,2.02,1.44
LH2,0.20 <= xF < 0.25,5.10 <= Mass < 5.40,0.312925 \pm 0.034505 \pm 0.013955,0.338131 \pm 0.028436 \pm 0.015079,0.358454 \pm 0.028308 \pm 0.015985,-,-,1.03,1.10
LH2,0.20 <= xF < 0.25,5.40 <= Mass < 5.70,0.231623 \pm 0.025165 \pm 0.009235,0.211625 \pm 0.019481 \pm 0.008438,0.236341 \pm 0.020458 \pm 0.009423,-,-,1.60,1.62
LH2,0.20 <= xF < 0.25,5.70 <= Mass < 6.00,0.130064 \pm 0.021246 \pm 0.004883,0.135662 \pm 0.016934 \pm 0.005094,0.140931 \pm 0.017253 \pm 0.005291,-,-,2.73,3.18
LH2,0.20 <= xF < 0.25,6.00 <= Mass < 6.30,0.087974 \pm 0.018371 \pm 0.003272,0.089309 \pm 0.012719 \pm 0.003322,0.089016 \pm 0.012298 \pm 0.003311,-,-,2.31,2.24
LH2,0.20 <= xF < 0.25,6.30 <= Mass < 6.60,0.086310 \pm 0.015593 \pm 0.002896,0.066179 \pm 0.010917 \pm 0.002220,0.060916 \pm 0.009991 \pm 0.002044,-,-,2.65,2.20
LH2,0.20 <= xF < 0.25,6.60 <= Mass < 6.90,0.030890 \pm 0.010744 \pm 0.001583,0.033160 \pm 0.007340 \pm 0.001700,0.034197 \pm 0.007155 \pm 0.001753,-,-,3.60,2.85
LH2,0.20 <= xF < 0.25,6.90 <= Mass < 7.50,0.017670 \pm 0.006403 \pm 0.000598,0.016009 \pm 0.005116 \pm 0.000542,0.016900 \pm 0.004936 \pm 0.000572,-,-,4.50,5.33
LH2,0.20 <= xF < 0.25,7.50 <= Mass < 8.80,0.006589 \pm 0.002196 \pm 0.000191,0.005201 \pm 0.002024 \pm 0.000150,0.005050 \pm 0.001934 \pm 0.000146,-,-,4.57,4.94
LH2,0.25 <= xF < 0.30,3.90 <= Mass < 4.20,1.382025 \pm 0.190008 \pm 0.200116,1.273139 \pm 0.175706 \pm 0.184349,0.795304 \pm 0.154108 \pm 0.115159,-,-,4.52,3.03
LH2,0.25 <= xF < 0.30,4.20 <= Mass < 4.50,0.876638 \pm 0.095059 \pm 0.074441,1.010910 \pm 0.080372 \pm 0.085843,0.952993 \pm 0.086364 \pm 0.080925,-,-,1.11,1.31
LH2,0.25 <= xF < 0.30,4.50 <= Mass < 4.80,0.821451 \pm 0.064941 \pm 0.052306,0.858022 \pm 0.060129 \pm 0.054634,0.976280 \pm 0.070686 \pm 0.062164,-,-,1.04,3.08
LH2,0.25 <= xF < 0.30,4.80 <= Mass < 5.10,0.471580 \pm 0.037262 \pm 0.022433,0.458546 \pm 0.030356 \pm 0.021813,0.486025 \pm 0.029720 \pm 0.023120,-,-,1.23,1.44
LH2,0.25 <= xF < 0.30,5.10 <= Mass < 5.40,0.306050 \pm 0.027681 \pm 0.012654,0.308186 \pm 0.022058 \pm 0.012742,0.319864 \pm 0.022744 \pm 0.013225,-,-,2.67,4.32
LH2,0.25 <= xF < 0.30,5.40 <= Mass < 5.70,0.218174 \pm 0.024686 \pm 0.008079,0.217570 \pm 0.016929 \pm 0.008057,0.215539 \pm 0.016463 \pm 0.007982,-,-,1.55,2.03
LH2,0.25 <= xF < 0.30,5.70 <= Mass < 6.00,0.153952 \pm 0.013360 \pm 0.005320,0.155995 \pm 0.011123 \pm 0.005391,0.159109 \pm 0.011135 \pm 0.005499,-,-,0.83,0.86
LH2,0.25 <= xF < 0.30,6.00 <= Mass < 6.30,0.104499 \pm 0.010602 \pm 0.003446,0.096270 \pm 0.008816 \pm 0.003174,0.095772 \pm 0.008992 \pm 0.003158,-,-,1.11,1.27
LH2,0.25 <= xF < 0.30,6.30 <= Mass < 6.60,0.052167 \pm 0.012157 \pm 0.001701,0.052207 \pm 0.007868 \pm 0.001703,0.049971 \pm 0.007230 \pm 0.001630,-,-,1.50,1.61
LH2,0.25 <= xF < 0.30,6.60 <= Mass < 6.90,0.042124 \pm 0.009411 \pm 0.001296,0.036976 \pm 0.006080 \pm 0.001138,0.036617 \pm 0.005892 \pm 0.001127,-,-,4.40,3.79
LH2,0.25 <= xF < 0.30,6.90 <= Mass < 7.50,0.021451 \pm 0.004249 \pm 0.000551,0.016709 \pm 0.003493 \pm 0.000429,0.015117 \pm 0.003208 \pm 0.000388,-,-,3.03,3.40
LH2,0.25 <= xF < 0.30,7.50 <= Mass < 8.80,0.001408 \pm 0.000996 \pm 0.000061,0.001158 \pm 0.000677 \pm 0.000051,0.001197 \pm 0.000680 \pm 0.000052,-,-,23.06,23.76
LH2,0.30 <= xF < 0.35,3.90 <= Mass < 4.20,1.502137 \pm 0.146878 \pm 0.163325,1.639031 \pm 0.173810 \pm 0.178209,1.571270 \pm 0.147203 \pm 0.170842,-,-,10.20,9.54
LH2,0.30 <= xF < 0.35,4.20 <= Mass < 4.50,0.862809 \pm 0.073614 \pm 0.060352,0.992404 \pm 0.062277 \pm 0.069417,1.021331 \pm 0.059794 \pm 0.071441,-,-,1.47,1.00
LH2,0.30 <= xF < 0.35,4.50 <= Mass < 4.80,0.594495 \pm 0.047459 \pm 0.031663,0.654153 \pm 0.037590 \pm 0.034840,0.625857 \pm 0.036338 \pm 0.033333,-,-,4.08,5.30
LH2,0.30 <= xF < 0.35,4.80 <= Mass < 5.10,0.444992 \pm 0.031439 \pm 0.019089,0.463096 \pm 0.028149 \pm 0.019866,0.432902 \pm 0.026885 \pm 0.018571,-,-,1.87,3.09
LH2,0.30 <= xF < 0.35,5.10 <= Mass < 5.40,0.322386 \pm 0.021980 \pm 0.012252,0.312532 \pm 0.018105 \pm 0.011877,0.323768 \pm 0.018036 \pm 0.012304,-,-,1.42,1.56
LH2,0.30 <= xF < 0.35,5.40 <= Mass < 5.70,0.217658 \pm 0.019437 \pm 0.007755,0.209760 \pm 0.014627 \pm 0.007473,0.201274 \pm 0.013970 \pm 0.007171,-,-,0.78,0.82
LH2,0.30 <= xF < 0.35,5.70 <= Mass < 6.00,0.115944 \pm 0.014627 \pm 0.003915,0.126462 \pm 0.010551 \pm 0.004270,0.121979 \pm 0.010102 \pm 0.004119,-,-,2.44,2.54
LH2,0.30 <= xF < 0.35,6.00 <= Mass < 6.30,0.098526 \pm 0.009960 \pm 0.003180,0.091065 \pm 0.008765 \pm 0.002939,0.094429 \pm 0.008647 \pm 0.003048,-,-,1.15,1.13
LH2,0.30 <= xF < 0.35,6.30 <= Mass < 6.60,0.064847 \pm 0.012134 \pm 0.002130,0.067631 \pm 0.007915 \pm 0.002221,0.065630 \pm 0.007462 \pm 0.002156,-,-,4.75,4.59
LH2,0.30 <= xF < 0.35,6.60 <= Mass < 6.90,0.054995 \pm 0.008022 \pm 0.001686,0.040846 \pm 0.005901 \pm 0.001252,0.040658 \pm 0.006046 \pm 0.001246,-,-,1.69,2.00
LH2,0.30 <= xF < 0.35,6.90 <= Mass < 7.50,0.016980 \pm 0.005393 \pm 0.000453,0.018700 \pm 0.004515 \pm 0.000499,0.017598 \pm 0.004195 \pm 0.000469,-,-,7.46,8.09
LH2,0.30 <= xF < 0.35,7.50 <= Mass < 8.80,0.008729 \pm 0.002254 \pm 0.000246,0.006793 \pm 0.002104 \pm 0.000191,0.007286 \pm 0.002140 \pm 0.000205,-,-,3.65,2.91
LH2,0.30 <= xF < 0.35,8.80 <= Mass < 10.00,0.002548 \pm 0.002548 \pm 0.000235,0.002571 \pm 0.002425 \pm 0.000237,0.002682 \pm 0.002408 \pm 0.000247,-,-,5.09,3.83
LH2,0.35 <= xF < 0.40,3.90 <= Mass < 4.20,1.373246 \pm 0.085756 \pm 0.112532,1.420891 \pm 0.089139 \pm 0.116436,1.334400 \pm 0.083789 \pm 0.109349,-,-,8.11,12.46
LH2,0.35 <= xF < 0.40,4.20 <= Mass < 4.50,0.706118 \pm 0.047485 \pm 0.039489,0.898870 \pm 0.041923 \pm 0.050269,0.970625 \pm 0.044603 \pm 0.054281,-,-,2.48,2.86
LH2,0.35 <= xF < 0.40,4.50 <= Mass < 4.80,0.568588 \pm 0.033438 \pm 0.026272,0.577469 \pm 0.029407 \pm 0.026683,0.597155 \pm 0.028490 \pm 0.027592,-,-,3.23,5.27
LH2,0.35 <= xF < 0.40,4.80 <= Mass < 5.10,0.397566 \pm 0.027508 \pm 0.016360,0.411058 \pm 0.021715 \pm 0.016915,0.372797 \pm 0.020516 \pm 0.015341,-,-,0.68,1.02
LH2,0.35 <= xF < 0.40,5.10 <= Mass < 5.40,0.273723 \pm 0.019533 \pm 0.009920,0.253467 \pm 0.015196 \pm 0.009186,0.259402 \pm 0.015727 \pm 0.009401,-,-,1.63,0.99
LH2,0.35 <= xF < 0.40,5.40 <= Mass < 5.70,0.132188 \pm 0.015075 \pm 0.004475,0.160784 \pm 0.011813 \pm 0.005443,0.156436 \pm 0.010820 \pm 0.005295,-,-,2.13,0.95
LH2,0.35 <= xF < 0.40,5.70 <= Mass < 6.00,0.133162 \pm 0.013717 \pm 0.004310,0.107405 \pm 0.009307 \pm 0.003477,0.105413 \pm 0.009001 \pm 0.003412,-,-,1.91,1.18
LH2,0.35 <= xF < 0.40,6.00 <= Mass < 6.30,0.083089 \pm 0.010308 \pm 0.002625,0.078950 \pm 0.008602 \pm 0.002494,0.079814 \pm 0.008320 \pm 0.002521,-,-,1.74,2.02
LH2,0.35 <= xF < 0.40,6.30 <= Mass < 6.60,0.051116 \pm 0.011948 \pm 0.001604,0.050790 \pm 0.006781 \pm 0.001593,0.055674 \pm 0.007331 \pm 0.001747,-,-,1.34,1.51
LH2,0.35 <= xF < 0.40,6.60 <= Mass < 6.90,0.039573 \pm 0.006337 \pm 0.001211,0.039193 \pm 0.005222 \pm 0.001199,0.039564 \pm 0.005043 \pm 0.001211,-,-,1.35,1.74
LH2,0.35 <= xF < 0.40,6.90 <= Mass < 7.50,0.018289 \pm 0.003339 \pm 0.000426,0.016316 \pm 0.002750 \pm 0.000380,0.014940 \pm 0.002485 \pm 0.000348,-,-,2.00,2.64
LH2,0.35 <= xF < 0.40,7.50 <= Mass < 8.80,0.006821 \pm 0.001761 \pm 0.000184,0.005273 \pm 0.001651 \pm 0.000142,0.005478 \pm 0.001647 \pm 0.000148,-,-,3.53,3.50
LH2,0.40 <= xF < 0.45,3.90 <= Mass < 4.20,1.357888 \pm 0.072848 \pm 0.098392,1.721163 \pm 0.102305 \pm 0.124714,1.508021 \pm 0.092156 \pm 0.109270,-,-,8.96,10.71
LH2,0.40 <= xF < 0.45,4.20 <= Mass < 4.50,0.662919 \pm 0.044928 \pm 0.036092,0.901248 \pm 0.040448 \pm 0.049068,0.949908 \pm 0.041439 \pm 0.051717,-,-,4.57,4.05
LH2,0.40 <= xF < 0.45,4.50 <= Mass < 4.80,0.497731 \pm 0.028197 \pm 0.021365,0.450321 \pm 0.023813 \pm 0.019330,0.476799 \pm 0.023421 \pm 0.020467,-,-,6.17,7.13
LH2,0.40 <= xF < 0.45,4.80 <= Mass < 5.10,0.332688 \pm 0.021054 \pm 0.012459,0.342228 \pm 0.018077 \pm 0.012816,0.322915 \pm 0.016716 \pm 0.012093,-,-,0.76,1.63
LH2,0.40 <= xF < 0.45,5.10 <= Mass < 5.40,0.232791 \pm 0.018234 \pm 0.008116,0.242490 \pm 0.013918 \pm 0.008454,0.237268 \pm 0.013738 \pm 0.008272,-,-,1.71,1.96
LH2,0.40 <= xF < 0.45,5.40 <= Mass < 5.70,0.172181 \pm 0.014349 \pm 0.005516,0.158555 \pm 0.011085 \pm 0.005080,0.167884 \pm 0.010976 \pm 0.005378,-,-,0.77,0.89
LH2,0.40 <= xF < 0.45,5.70 <= Mass < 6.00,0.093252 \pm 0.012776 \pm 0.002856,0.109106 \pm 0.009527 \pm 0.003341,0.114303 \pm 0.009853 \pm 0.003501,-,-,1.62,1.10
LH2,0.40 <= xF < 0.45,6.00 <= Mass < 6.30,0.094104 \pm 0.010114 \pm 0.002863,0.087404 \pm 0.007687 \pm 0.002659,0.082158 \pm 0.007351 \pm 0.002499,-,-,3.00,3.69
LH2,0.40 <= xF < 0.45,6.30 <= Mass < 6.60,0.066440 \pm 0.009453 \pm 0.001953,0.062841 \pm 0.007199 \pm 0.001847,0.061566 \pm 0.006811 \pm 0.001809,-,-,3.48,2.67
LH2,0.40 <= xF < 0.45,6.60 <= Mass < 6.90,0.031617 \pm 0.007807 \pm 0.000938,0.031064 \pm 0.005704 \pm 0.000922,0.031340 \pm 0.005501 \pm 0.000930,-,-,2.89,4.33
LH2,0.40 <= xF < 0.45,6.90 <= Mass < 7.50,0.013851 \pm 0.005166 \pm 0.000395,0.010192 \pm 0.004014 \pm 0.000291,0.010186 \pm 0.003805 \pm 0.000290,-,-,11.80,13.96
LH2,0.40 <= xF < 0.45,7.50 <= Mass < 8.80,0.001825 \pm 0.002437 \pm 0.000099,0.001411 \pm 0.001828 \pm 0.000077,0.001445 \pm 0.001823 \pm 0.000079,-,-,9.62,9.80
